year,id,country,iso,region,income_group,lcgdp,lpop,polity,open,interest,credit,gross,fdi,cpi,balance,open_ww,kaopen,oecd,noil,safrica,low,middle,high,quake,storm,sdisaster,disaster,damage_cor,damage_gdp,disasterla,sdisasterla,mag,maxvei,combi,difmonth,abs_diff,dif_temp,drought,flood,magla,maxveila,combila,difmonthla,abs_diffla,dif_templa,droughtla,floodla,disindex,disindexla,indexla,dindex,maglaxopen_ww,maglaxpolity,maglaxkaopen,maxveilaxopen_ww,maxveilaxpolity,maxveilaxkaopen,combilaxopen_ww,combilaxpolity,combilaxkaopen,floodlaxopen_ww,floodlaxpolity,floodlaxkaopen,droughtlaxopen_ww,droughtlaxpolity,droughtlaxkaopen,dif_templaxopen_ww,dif_templaxpolity,dif_templaxkaopen,indexlaxopen_ww,indexlaxpolity,indexlaxkaopen,disindexlaxopen_ww,disindexlaxpolity,disindexlaxkaopen,EFW,size_gov,prop_rights,sound_money,freedom_to_trade,regulation
1979,1.0,Angola,AGO,Sub-Saharan Africa,Lower middle income,6.747221,8.77223,0.15,0.67700094,,,,,,,0.0,,0,1,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,4.900000095367432,0,25.1,7.070764576474645,0.16911414,0.16911414,0,7.0707645,3.9303763e-05,0.0,0.00013015023,0.00056715845,1.35649425e-05,0.00011694757,0.0,0.0023022168,11.954135,0.0009588622,0.00078209525,37.23988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,1.0,Angola,AGO,Sub-Saharan Africa,Lower middle income,6.8162317,8.816272,0.15,0.6107355,,,,,,,0.0,,0,1,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,4.599999904632568,0,18.1,0.8721415286215332,0.13128555,0.02034018,0,0.87214154,3.6897407e-05,0.0,9.3853356e-05,6.9956004e-05,1.0530644e-05,1.4065854e-05,0.0,0.0002839663,4.157333,0.00033346697,0.0004954787,23.592482,0.0,5.5346113e-06,,0.0,0.0,,0.0,1.4078004e-05,,0.0,4.2594947e-05,,0.0,0.0,,0.0,2.109878e-06,,0.0,7.4321804e-05,,0.0,5.0020048e-05,,,,,,,
1981,1.0,Angola,AGO,Sub-Saharan Africa,Lower middle income,6.8857145,8.836312,0.15,0.72843605,,,,,,,0.0,,0,1,1,0,1,0,0,0,1,0,0.0,0.0,0.0,8.021176e-05,0.0,0,16.9,1.4579202470674648,0.065249786,0.01873465,0,1.4579202,0.0,0.0,8.763104e-05,0.00011694235,5.2338e-06,1.2955582e-05,0.0,0.00047469386,2.436156,0.00019540836,0.00038593824,18.376656,0.0,0.0,,0.0,0.0,,0.0,1.3144656e-05,,0.0,7.1204086e-05,,0.0,0.0,,0.0,1.9433373e-06,,0.0,5.789074e-05,,0.0,2.9311255e-05,,,,,,,
1982,1.0,Angola,AGO,Sub-Saharan Africa,Lower middle income,6.91359,8.856309,0.15,0.68589395,,,,,,,0.0,,0,1,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,4.099999904632568,0,19.0,0.27640868330956697,0.21707033,-0.029948758,0,0.27640867,3.288682e-05,0.0,9.8520104e-05,2.2171227e-05,1.7411592e-05,-2.0710477e-05,0.0,8.9997724e-05,2.7191308,0.00021810626,0.0004903119,23.34646,0.0,4.933023e-06,,0.0,0.0,,0.0,1.47780165e-05,,0.0,1.3499659e-05,,0.0,0.0,,0.0,-3.1065717e-06,,0.0,7.3546784e-05,,0.0,3.271594e-05,,,,,,,
1983,1.0,Angola,AGO,Sub-Saharan Africa,Lower middle income,6.946938,8.88745,0.15,0.6691278,,,,,,,0.0,,0,1,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,13.0,1.425393492918421,0.10533856,0.10533856,0,1.4253935,0.0,0.0,6.740849e-05,0.00011433332,8.449391e-06,7.284482e-05,0.0,0.00046410324,3.5461936,0.00028444643,0.0003051679,14.530732,0.0,0.0,,0.0,0.0,,0.0,1.0111274e-05,,0.0,6.961549e-05,,0.0,0.0,,0.0,1.0926724e-05,,0.0,4.5775185e-05,,0.0,4.2666965e-05,,,,,,,
1984,1.0,Angola,AGO,Sub-Saharan Africa,Lower middle income,6.995499,8.914955,0.15,0.6907642,,,,,,,0.0,,0,1,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.49796165419015,0.0,0.0,0,1.4979616,0.0,0.0,0.0,0.00012015414,0.0,0.0,0.0,0.00048773122,1.1864834,9.516992e-05,3.1459516e-05,1.4979616,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,7.315969e-05,,0.0,0.0,,0.0,0.0,,0.0,4.718928e-06,,0.0,1.4275488e-05,,,,,,,
1985,1.0,Angola,AGO,Sub-Saharan Africa,Lower middle income,7.033703,8.933889,0.15,0.6157985,,,,0.040856648929999996,,0.02865844079,0.0,,0,1,1,0,1,0,0,0,1,1,0.0,0.0,8.021176e-05,8.021176e-05,0.0,0,17.5,1.4004795659789346,0.22857289,0.22857289,0,1.4004796,0.0,0.0,9.07422e-05,0.00011233493,1.8334234e-05,0.00015806512,0.0,0.0004559914,5.729251,0.0004595533,0.0004017398,19.129053,0.0,0.0,,0.0,0.0,,0.0,1.361133e-05,,0.0,6.839871e-05,,0.0,0.0,,0.0,2.3709768e-05,,0.0,6.026097e-05,,0.0,6.8933e-05,,,,,,,
1986,1.0,Angola,AGO,Sub-Saharan Africa,Lower middle income,7.05162,8.955272,0.15,0.48782688,,,-0.07283127429,0.03681648091,,-0.04767262272,0.0,,0,1,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,3.299999952316284,0,14.0,1.6544640884393633,0.17042628,0.123258494,0,1.6544641,2.6469881e-05,0.0,7.259376e-05,0.00013270747,1.3670192e-05,8.5237e-05,0.0,0.00053868786,5.5673504,0.00044656696,0.00040066178,19.077723,0.0,3.9704823e-06,,0.0,0.0,,0.0,1.0889064e-05,,0.0,8.0803184e-05,,0.0,0.0,,0.0,1.278555e-05,,0.0,6.0099268e-05,,0.0,6.698505e-05,,,,,,,
1987,1.0,Angola,AGO,Sub-Saharan Africa,Lower middle income,7.1817207,8.97188,0.15,0.5892065,,,0.06714857894,0.01611784359,,0.060543496499999995,0.0,,0,1,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,4.400000095367432,0,0.0,1.4998698429847899,0.0,0.0,0,1.4998698,3.5293175e-05,0.0,0.0,0.000120307195,0.0,0.0,0.0,0.0004883525,3.1869648,0.00025563204,0.00012390641,5.89987,0.0,5.2939763e-06,,0.0,0.0,,0.0,0.0,,0.0,7.325288e-05,,0.0,0.0,,0.0,0.0,,0.0,1.8585963e-05,,0.0,3.8344806e-05,,,,,,,
1988,1.0,Angola,AGO,Sub-Saharan Africa,Lower middle income,7.1550865,8.990116,0.15,0.5859331,,,-0.2210204201,0.01642585019,,-0.05880705143,0.0,,0,1,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,5.1,1.8335160639957042,0.07510712,0.07510712,0,1.8335161,0.0,0.0,2.644487e-05,0.00014706954,6.0244743e-06,5.193886e-05,0.0,0.0005969866,2.9323902,0.00023521217,0.00014719195,7.008623,0.0,0.0,,0.0,0.0,,0.0,3.9667307e-06,,0.0,8.9548e-05,,0.0,0.0,,0.0,7.790829e-06,,0.0,2.2078793e-05,,0.0,3.5281828e-05,,,,,,,
1989,1.0,Angola,AGO,Sub-Saharan Africa,Lower middle income,7.2129183,9.006245,0.15,0.56886107,,,0.037194135589999996,0.021544632570000003,,-0.0142194575,0.0,,0,1,1,0,1,0,0,0,2,2,0.0,0.0,0.00016042351,0.00016042351,5.099999904632568,0,0.0,0.6007724405613164,0.0,0.0,0,0.60077244,4.0908e-05,0.0,0.0,4.8189013e-05,0.0,0.0,0.0,0.00019560946,2.7928388,0.00022401851,0.00011972506,5.7007723,0.0,6.1362e-06,,0.0,0.0,,0.0,0.0,,0.0,2.9341421e-05,,0.0,0.0,,0.0,0.0,,0.0,1.795876e-05,,0.0,3.3602777e-05,,,,,,,
1990,1.0,Angola,AGO,Sub-Saharan Africa,Lower middle income,7.271712,9.023602,0.15,0.6270816,,,-0.04281995236,-0.032630963980000004,,-0.0229527838,0.0,,0,1,1,0,1,0,0,0,1,1,0.0,0.0,8.021176e-05,8.021176e-05,0.0,0,0.0,1.1222161298333317,0.0,0.0,0,1.1222161,0.0,0.0,0.0,9.001493e-05,0.0,0.0,0.0,0.00036538974,0.8888684,7.12977e-05,2.3568276e-05,1.1222161,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,5.4808464e-05,,0.0,0.0,,0.0,0.0,,0.0,3.5352416e-06,,0.0,1.0694655e-05,,,,,,,
1991,1.0,Angola,AGO,Sub-Saharan Africa,Lower middle income,7.200487,9.047446,0.35,0.8190814,,,,0.05449514579,0.08360833332999999,-0.04753256057,0.0,,0,1,1,0,1,0,0,0,1,0,0.0,0.0,0.0,8.021176e-05,3.4000000953674316,0,15.9,0.23025010484581218,0.17942554,0.17942554,0,0.2302501,2.7271997e-05,0.0,8.244577e-05,1.8468765e-05,1.4392038e-05,0.00012407821,0.0,7.496865e-05,5.4798737,0.0004395503,0.00041393374,19.709675,0.0,4.0908e-06,,0.0,0.0,,0.0,1.2366866e-05,,0.0,1.1245298e-05,,0.0,0.0,,0.0,1.8611732e-05,,0.0,6.209006e-05,,0.0,6.5932545e-05,,,,,,,
1992,1.0,Angola,AGO,Sub-Saharan Africa,Lower middle income,7.292112,9.075875,0.5,1.2546927,,,,0.04982459847,0.29906050019999997,-0.1271371986,0.0,,0,1,1,0,1,0,0,0,1,0,0.0,0.0,0.0,8.021176e-05,0.0,0,0.0,0.18219658551807255,0.0,0.0,0,0.18219659,0.0,0.0,0.0,1.4614308e-05,0.0,0.0,0.0,5.932259e-05,0.14431159,1.15754865e-05,3.8264106e-06,0.18219659,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,2.0762905e-05,,0.0,0.0,,0.0,0.0,,0.0,1.3392437e-06,,0.0,4.05142e-06,,,,,,,
1993,1.0,Angola,AGO,Sub-Saharan Africa,Lower middle income,7.1152163,9.101224,0.45,1.2357055,,,,0.057155289299999995,1.379414274,-0.1264757064,0.0,0.0008719177,0,1,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,13.0,0.28009338721694416,0.048972335,0.048972335,0,0.2800934,0.0,0.0,6.740849e-05,2.2466784e-05,3.928157e-06,3.386586e-05,0.0,9.119746e-05,1.7516445,0.00014050248,0.00027993106,13.329065,0.0,0.0,,0.0,0.0,,0.0,3.3704244e-05,,0.0,4.559873e-05,,0.0,0.0,,0.0,1.693293e-05,,0.0,0.00013996553,,0.0,7.025124e-05,,,,,,,
1994,1.0,Angola,AGO,Sub-Saharan Africa,Lower middle income,7.184913,9.123941,0.45,1.7892054,,,,0.041950181979999994,0.9488111887999999,-0.0837032991,0.0,0.0008719177,0,1,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,15.9,0.17567613983684818,0.14498305,0.037419837,0,0.17567614,0.0,0.0,8.244577e-05,1.40912925e-05,1.1629346e-05,2.5876958e-05,0.0,5.719955e-05,1.6563344,0.0001328575,0.0003384,16.113096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7100595e-05,7.188592e-08,0.0,2.5739797e-05,4.98733e-08,0.0,0.0,0.0,0.0,1.1644631e-05,2.2562578e-08,0.0,0.00015227999,2.9505694e-07,0.0,5.9785874e-05,1.15840805e-07,,,,,,
1995,1.0,Angola,AGO,Sub-Saharan Africa,Lower middle income,7.299773,9.150497,0.4,1.817765,-0.08465071154,0.5788594941,,0.09374416905,2.671792072,-0.058546475630000004,0.0,0.0008719177,0,1,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.4607997835638658,0.0,0.0,0,0.46079978,0.0,0.0,0.0,3.6961563e-05,0.0,0.0,0.0,0.00015003484,0.3649835,2.9275969e-05,9.67751e-06,0.46079978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.751568e-05,1.3081804e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3548794e-06,8.4379925e-09,0.0,1.3174185e-05,2.5526235e-08,,,,,,
1996,1.0,Angola,AGO,Sub-Saharan Africa,Lower middle income,7.665526,9.174776,0.4,1.6138774,-0.09421995659,0.04774446094,,0.02398993967,4.145107647,0.43398673649999997,0.0,0.14013048,0,1,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,4.0,0,0.0,0.130460556633956,0.0,0.0,0,0.13046056,3.2084703e-05,0.0,0.0,1.04644705e-05,0.0,0.0,0.0,4.2477517e-05,1.9205786,0.00015405299,8.674607e-05,4.1304607,0.0,1.2833882e-05,2.797522e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6991007e-05,3.7036898e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4698427e-05,7.5635434e-08,0.0,6.16212e-05,1.3432152e-07,,,,,,
1997,1.0,Angola,AGO,Sub-Saharan Africa,Lower middle income,7.464136,9.195793,0.35,1.6291802,-0.02911161789,0.1002726789,,0.05363359886999999,0.2191767212,-0.11511303,0.0,0.14013048,0,1,1,0,1,0,0,0,1,1,0.0,0.0,8.021176e-05,8.021176e-05,0.0,0,0.0,0.19356798853839124,0.0,0.0,0,0.19356799,0.0,0.0,0.0,1.552643e-05,0.0,0.0,0.0,6.302508e-05,0.15331848,1.2297945e-05,4.065228e-06,0.19356799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5210033e-05,8.831735e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6260913e-06,5.6966235e-07,0.0,4.919178e-06,1.7233169e-06,,,,,,
1998,1.0,Angola,AGO,Sub-Saharan Africa,Lower middle income,7.5442767,9.214251,0.35,1.4098406,0.007155928155,0.1773630649,,0.1728373592,0.1072848215,-0.28969345539999997,0.0,0.14013048,0,1,1,0,1,0,0,0,1,1,0.0,0.0,8.021176e-05,8.021176e-05,0.0,0,0.0,0.34831518344004897,0.0,0.0,0,0.34831518,0.0,0.0,0.0,2.7938973e-05,0.0,0.0,0.0,0.00011341024,0.27588835,2.212949e-05,7.3151587e-06,0.34831518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9693583e-05,1.589223e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5603056e-06,1.0250767e-06,0.0,7.745321e-06,3.101016e-06,,,,,,
1999,1.0,Angola,AGO,Sub-Saharan Africa,Lower middle income,7.544042,9.231656,0.35,2.128887,-0.07255504755,0.1055761831,,0.4015708695,0.2481959024,-0.277912987,0.0,0.14013048,0,1,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,4.5,0,0.0,0.8849476984099006,0.0,0.0,0,0.8849477,3.609529e-05,0.0,0.0,7.098321e-05,0.0,0.0,0.0,0.00028813598,2.7453375,0.00022020834,0.000113092254,5.384948,0.0,1.2633352e-05,5.05805e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000100847596,4.037663e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.958229e-05,1.584767e-05,0.0,7.707292e-05,3.08579e-05,,,,,,
2000,1.0,Angola,AGO,Sub-Saharan Africa,Lower middle income,7.399153,9.247373,0.35,1.2033201,-0.06079751921,-0.1391519646,,0.09624303227,0.3249968716,0.08715459314,0.0,0.14013048,0,1,1,0,1,0,0,0,5,0,8.863777160644531,0.05225458,0.0,0.0004010588,0.0,0,0.0,0.4487104626685422,0.0,0.0,0,0.44871047,0.0,0.0,0.0,3.5991856e-05,0.0,0.0,0.0,0.00014609861,0.35540798,2.8507899e-05,9.423616e-06,0.44871047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1134513e-05,2.0472868e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2982655e-06,1.3205357e-06,0.0,9.977764e-06,3.9948254e-06,,,,,,
